129,134
129,134
331,334
101,106
101,106
269,272
182,201
182,201
182,201
182,201
299,304
299,304
78,81
135,138
315,319
60,63
60,63


68,81
68,81
68,81
68,81
68,81
68,81
68,81
68,81
68,81
349,371
349,371
349,371
349,371
349,371
349,371
349,371
349,371
349,371
349,371
200,203
200,203
220,223
220,223
231,234
231,234
309,312
309,312
363,366
363,366
89,93
89,93
352,355
352,355
180,183
299,302
299,302
147,163
40,76
40,76
40,76
85,88
159,168
259,262
40,76
40,76
96,99
122,140



122,140
122,140
122,140
122,140
122,140
122,140
122,140
159,168
249,252
289,292
40,76
143,165
143,165
143,165
143,165
143,165
58,61




58,61
89,94
89,94
121,126
121,126
94,163
94,163
147,163
147,163
147,163
147,163
147,163
94,163
239,250
239,250
239,250
239,250
314,346
314,346
314,346
314,346
56,65
56,65
56,65
383,386
403,413
403,413
403,413
426,463
426,463
426,463
474,484
474,484
474,484
314,346
314,346
314,346
314,346
360,405
33,45
540,544
595,598
94,163
94,163
94,163
94,163
94,163
67,70
94,163
94,163
94,163
170,179
170,179
33,45
143,165


49,54
49,54
49,54
49,54
94,163
94,163
94,163
94,163
94,163
94,163
220,230
129,220
228,273
282,300
129,220
129,220
228,273
282,300
33,45
67,71
360,405
360,405
626,632
626,632
626,632
129,220
129,220
276,289
276,289
276,289
276,289
276,289
276,289
240,245
240,245
255,258
129,220
129,220
360,405
360,405
360,405
360,405
360,405
360,405
220,230
220,230
129,220
129,220
129,220
129,220
33,45
210,213
209,212

129,220
129,220
129,220
129,220
129,220
129,220
129,220
129,220
56,59




56,59
115,120
115,120
141,146
141,146
166,171
166,171
189,194
189,194
203,208
203,208
215,220
215,220
229,234
229,234
241,247
241,247
241,247
255,261
255,261
255,261
271,277
271,277
271,277
286,291
286,291
328,337
328,337
328,337
105,109
105,109
122,140
149,152
159,168
190,193
239,242
279,282
279,282
319,322
341,345
373,376
393,396
403,413
426,463
426,463
426,463
426,463
426,463
426,463
426,463
426,463
474,484
493,496
510,514
526,531
526,531
550,553
560,588
560,588
560,588
560,588
560,588
560,588
560,588
560,588
560,588
560,588
560,588
560,588
600,624
600,624
600,624
600,624
600,624
600,624
600,624
600,624
600,624
600,624

40,76
40,76
40,76
40,76
40,76
40,76
69,93
69,93
69,93
69,93
69,93
69,93
69,93
69,93
69,93
69,93
99,101
112,117
112,117
129,135
129,135
143,165
143,165
143,165
172,175
182,201
182,201
182,201
182,201
220,230
265,276
265,276
265,276
265,276
265,276
265,276
265,276
85,90
107,112
129,220
129,220
129,220
129,220
129,220
129,220
129,220
129,220
129,220
129,220
129,220
129,220
129,220
129,220
129,220
228,273
228,273
228,273
228,273
228,273
228,273
228,273
228,273
228,273
228,273
228,273
228,273
228,273
228,273
228,273
282,300
282,300
282,300
282,300
282,300
314,346
314,346
314,346
314,346
314,346
314,346
360,405
360,405
360,405
360,405
360,405
360,405
94,163
94,163
94,163
94,163
94,163
94,163
94,163
94,163
94,163
170,179
170,179
194,214
194,214
194,214
194,214
194,214
194,214
194,214
194,214
194,214
194,214
222,225
222,225
239,250
239,250
278,308
278,308
278,308
278,308
278,308
278,308
278,308
278,308
278,308
278,308
278,308
278,308
278,308
278,308
89,101
89,101
89,101
89,101
89,101
109,112
147,163
179,182
193,198
193,198
209,212
219,226
219,226
219,226
233,236
265,268
265,268
276,289
297,300
307,316
307,316
307,316

33,45
56,65
56,65
32,35
32,35
33,36
33,36
34,37
34,37
34,37
34,37
